DATE,DAY,INSECT,STATUS,NOTES
7/4/2015,4,H-CF-ECL-3-A,NA,
7/4/2015,4,H-CF-ECL-3-B,NA,
7/4/2015,4,H-CF-ECL-3-C,NA,
7/4/2015,4,H-CF-ECL-4-A,NA,
7/4/2015,4,H-CF-ECL-4-B,NA,
7/4/2015,4,H-CF-ECL-4-C,NA,
7/4/2015,4,H-5A-ECL-1-A,NA,
7/4/2015,4,H-5A-ECL-1-B,NA,
7/4/2015,4,H-5A-ECL-1-C,NA,
7/4/2015,4,H-5A-ECL-2-A,NA,
7/4/2015,4,H-5A-ECL-2-B,NA,
7/4/2015,4,H-5A-ECL-2-C,NA,
7/4/2015,4,H-5A-ECL-3-A,NA,
7/4/2015,4,H-5A-ECL-3-B,NA,
7/4/2015,4,H-5A-ECL-3-C,NA,
7/4/2015,4,H-5A-ECL-4-A,NA,
7/4/2015,4,H-5A-ECL-4-B,NA,
7/4/2015,4,H-5A-ECL-4-C,NA,
7/5/2015,5,H-CO-ECL-1-A,A,
7/5/2015,5,H-CO-ECL-1-B,A,
7/5/2015,5,H-CO-ECL-1-C,A,
7/5/2015,5,H-CO-ECL-2-A,A,
7/5/2015,5,H-CO-ECL-2-B,A,
7/5/2015,5,H-CO-ECL-2-C,A,
7/5/2015,5,H-CO-ECL-3-A,A,
7/5/2015,5,H-CO-ECL-3-B,A,
7/5/2015,5,H-CO-ECL-3-C,A,
7/5/2015,5,H-CO-ECL-4-A,A,
7/5/2015,5,H-CO-ECL-4-B,A,
7/5/2015,5,H-CO-ECL-4-C,A,
7/5/2015,5,H-CF-ECL-1-A,A,
7/5/2015,5,H-CF-ECL-1-B,A,
7/5/2015,5,H-CF-ECL-1-C,A,
7/5/2015,5,H-CF-ECL-2-A,D,
7/5/2015,5,H-CF-ECL-2-B,K,
7/5/2015,5,H-CF-ECL-2-C,A,Molting not successful
7/5/2015,5,H-CF-ECL-3-A,A,
7/5/2015,5,H-CF-ECL-3-B,K,
7/5/2015,5,H-CF-ECL-3-C,A,
7/5/2015,5,H-CF-ECL-4-A,K,
7/5/2015,5,H-CF-ECL-4-B,A,
7/5/2015,5,H-CF-ECL-4-C,A,
7/5/2015,5,H-5A-ECL-1-A,D,
7/5/2015,5,H-5A-ECL-1-B,D,
7/5/2015,5,H-5A-ECL-1-C,D,
7/5/2015,5,H-5A-ECL-2-A,K,
7/5/2015,5,H-5A-ECL-2-B,D,
7/5/2015,5,H-5A-ECL-2-C,K,
7/5/2015,5,H-5A-ECL-3-A,K,
7/5/2015,5,H-5A-ECL-3-B,D,
7/5/2015,5,H-5A-ECL-3-C,D,
7/5/2015,5,H-5A-ECL-4-A,D,
7/5/2015,5,H-5A-ECL-4-B,D,
7/5/2015,5,H-5A-ECL-4-C,D,
7/6/2015,6,H-CO-ECL-1-A,A,
7/6/2015,6,H-CO-ECL-1-B,A,
7/6/2015,6,H-CO-ECL-1-C,A,
7/6/2015,6,H-CO-ECL-2-A,A,
7/6/2015,6,H-CO-ECL-2-B,A,
7/6/2015,6,H-CO-ECL-2-C,A,
7/6/2015,6,H-CO-ECL-3-A,A,
7/6/2015,6,H-CO-ECL-3-B,A,
7/6/2015,6,H-CO-ECL-3-C,A,
7/6/2015,6,H-CO-ECL-4-A,A,
7/6/2015,6,H-CO-ECL-4-B,A,
7/6/2015,6,H-CO-ECL-4-C,A,
7/6/2015,6,H-CF-ECL-1-A,A,
7/6/2015,6,H-CF-ECL-1-B,A,
7/6/2015,6,H-CF-ECL-1-C,A,
7/6/2015,6,H-CF-ECL-2-A,D,
7/6/2015,6,H-CF-ECL-2-B,K,
7/6/2015,6,H-CF-ECL-2-C,D,
7/6/2015,6,H-CF-ECL-3-A,A,
7/6/2015,6,H-CF-ECL-3-B,K,
7/6/2015,6,H-CF-ECL-3-C,A,
7/6/2015,6,H-CF-ECL-4-A,K,
7/6/2015,6,H-CF-ECL-4-B,A,
7/6/2015,6,H-CF-ECL-4-C,A,
7/6/2015,6,H-5A-ECL-1-A,D,
7/6/2015,6,H-5A-ECL-1-B,D,
7/6/2015,6,H-5A-ECL-1-C,D,
7/6/2015,6,H-5A-ECL-2-A,K,
7/6/2015,6,H-5A-ECL-2-B,K,
7/6/2015,6,H-5A-ECL-2-C,K,
7/6/2015,6,H-5A-ECL-3-A,K,
7/6/2015,6,H-5A-ECL-3-B,D,
7/6/2015,6,H-5A-ECL-3-C,D,
7/6/2015,6,H-5A-ECL-4-A,D,
7/6/2015,6,H-5A-ECL-4-B,D,
7/6/2015,6,H-5A-ECL-4-C,D,
7/7/2015,7,H-CO-ECL-1-A,A,
7/7/2015,7,H-CO-ECL-1-B,A,
7/7/2015,7,H-CO-ECL-1-C,A,
7/7/2015,7,H-CO-ECL-2-A,A,
7/7/2015,7,H-CO-ECL-2-B,A,
7/7/2015,7,H-CO-ECL-2-C,A,
7/7/2015,7,H-CO-ECL-3-A,A,
7/7/2015,7,H-CO-ECL-3-B,A,
7/7/2015,7,H-CO-ECL-3-C,A,
7/7/2015,7,H-CO-ECL-4-A,A,
7/7/2015,7,H-CO-ECL-4-B,A,
7/7/2015,7,H-CO-ECL-4-C,A,
7/7/2015,7,H-CF-ECL-1-A,A,
7/7/2015,7,H-CF-ECL-1-B,A,
7/7/2015,7,H-CF-ECL-1-C,A,
7/7/2015,7,H-CF-ECL-2-A,D,
7/7/2015,7,H-CF-ECL-2-B,D,
7/7/2015,7,H-CF-ECL-2-C,D,Successfully shed into adult
7/7/2015,7,H-CF-ECL-3-A,A,
7/7/2015,7,H-CF-ECL-3-B,D,
7/7/2015,7,H-CF-ECL-3-C,K,
7/7/2015,7,H-CF-ECL-4-A,K,
7/7/2015,7,H-CF-ECL-4-B,A,
7/7/2015,7,H-CF-ECL-4-C,A,
7/7/2015,7,H-5A-ECL-1-A,D,
7/7/2015,7,H-5A-ECL-1-B,D,
7/7/2015,7,H-5A-ECL-1-C,D,
7/7/2015,7,H-5A-ECL-2-A,K,
7/7/2015,7,H-5A-ECL-2-B,D,
7/7/2015,7,H-5A-ECL-2-C,K,
7/7/2015,7,H-5A-ECL-3-A,K,
7/7/2015,7,H-5A-ECL-3-B,D,
7/7/2015,7,H-5A-ECL-3-C,D,
7/7/2015,7,H-5A-ECL-4-A,D,
7/7/2015,7,H-5A-ECL-4-B,D,
7/7/2015,7,H-5A-ECL-4-C,D,
7/8/2015,8,H-CO-ECL-1-A,A,
7/8/2015,8,H-CO-ECL-1-B,A,
7/8/2015,8,H-CO-ECL-1-C,A,
7/8/2015,8,H-CO-ECL-2-A,A,
7/8/2015,8,H-CO-ECL-2-B,A,
7/8/2015,8,H-CO-ECL-2-C,A,
7/8/2015,8,H-CO-ECL-3-A,A,
7/8/2015,8,H-CO-ECL-3-B,A,
7/8/2015,8,H-CO-ECL-3-C,A,
7/8/2015,8,H-CO-ECL-4-A,A,
7/8/2015,8,H-CO-ECL-4-B,A,
7/8/2015,8,H-CO-ECL-4-C,A,
7/8/2015,8,H-CF-ECL-1-A,A,
7/8/2015,8,H-CF-ECL-1-B,A,
7/8/2015,8,H-CF-ECL-1-C,A,
7/8/2015,8,H-CF-ECL-2-A,D,
7/8/2015,8,H-CF-ECL-2-B,D,
7/8/2015,8,H-CF-ECL-2-C,D,
7/8/2015,8,H-CF-ECL-3-A,A,
7/8/2015,8,H-CF-ECL-3-B,D,
7/8/2015,8,H-CF-ECL-3-C,D,
7/8/2015,8,H-CF-ECL-4-A,A,
7/8/2015,8,H-CF-ECL-4-B,A,
7/8/2015,8,H-CF-ECL-4-C,K,
7/8/2015,8,H-5A-ECL-1-A,D,
7/8/2015,8,H-5A-ECL-1-B,D,
7/8/2015,8,H-5A-ECL-1-C,D,
7/8/2015,8,H-5A-ECL-2-A,K,
7/8/2015,8,H-5A-ECL-2-B,D,
7/8/2015,8,H-5A-ECL-2-C,K,
7/8/2015,8,H-5A-ECL-3-A,K,
7/8/2015,8,H-5A-ECL-3-B,D,
7/8/2015,8,H-5A-ECL-3-C,D,
7/8/2015,8,H-5A-ECL-4-A,D,
7/8/2015,8,H-5A-ECL-4-B,D,
7/8/2015,8,H-5A-ECL-4-C,D,
7/9/2015,9,H-CO-ECL-1-A,A,
7/9/2015,9,H-CO-ECL-1-B,A,
7/9/2015,9,H-CO-ECL-1-C,A,
7/9/2015,9,H-CO-ECL-2-A,A,
7/9/2015,9,H-CO-ECL-2-B,A,
7/9/2015,9,H-CO-ECL-2-C,A,
7/9/2015,9,H-CO-ECL-3-A,A,
7/9/2015,9,H-CO-ECL-3-B,A,
7/9/2015,9,H-CO-ECL-3-C,A,
7/9/2015,9,H-CO-ECL-4-A,A,
7/9/2015,9,H-CO-ECL-4-B,A,
7/9/2015,9,H-CO-ECL-4-C,A,
7/9/2015,9,H-CF-ECL-1-A,A,
7/9/2015,9,H-CF-ECL-1-B,A,
7/9/2015,9,H-CF-ECL-1-C,A,
7/9/2015,9,H-CF-ECL-2-A,D,
7/9/2015,9,H-CF-ECL-2-B,D,
7/9/2015,9,H-CF-ECL-2-C,D,
7/9/2015,9,H-CF-ECL-3-A,A,
7/9/2015,9,H-CF-ECL-3-B,D,
7/9/2015,9,H-CF-ECL-3-C,D,
7/9/2015,9,H-CF-ECL-4-A,A,
7/9/2015,9,H-CF-ECL-4-B,A,
7/9/2015,9,H-CF-ECL-4-C,D,
7/9/2015,9,H-5A-ECL-1-A,D,
7/9/2015,9,H-5A-ECL-1-B,D,
7/9/2015,9,H-5A-ECL-1-C,D,
7/9/2015,9,H-5A-ECL-2-A,K,
7/9/2015,9,H-5A-ECL-2-B,D,
7/9/2015,9,H-5A-ECL-2-C,D,
7/9/2015,9,H-5A-ECL-3-A,K,
7/9/2015,9,H-5A-ECL-3-B,D,
7/9/2015,9,H-5A-ECL-3-C,D,
7/9/2015,9,H-5A-ECL-4-A,D,
7/9/2015,9,H-5A-ECL-4-B,D,
7/9/2015,9,H-5A-ECL-4-C,D,
7/10/2015,10,H-CO-ECL-1-A,A,
7/10/2015,10,H-CO-ECL-1-B,A,
7/10/2015,10,H-CO-ECL-1-C,A,
7/10/2015,10,H-CO-ECL-2-A,A,
7/10/2015,10,H-CO-ECL-2-B,A,
7/10/2015,10,H-CO-ECL-2-C,A,
7/10/2015,10,H-CO-ECL-3-A,A,
7/10/2015,10,H-CO-ECL-3-B,A,
7/10/2015,10,H-CO-ECL-3-C,A,
7/10/2015,10,H-CO-ECL-4-A,A,
7/10/2015,10,H-CO-ECL-4-B,A,
7/10/2015,10,H-CO-ECL-4-C,A,
7/10/2015,10,H-CF-ECL-1-A,A,
7/10/2015,10,H-CF-ECL-1-B,A,
7/10/2015,10,H-CF-ECL-1-C,A,
7/10/2015,10,H-CF-ECL-2-A,D,
7/10/2015,10,H-CF-ECL-2-B,D,
7/10/2015,10,H-CF-ECL-2-C,D,
7/10/2015,10,H-CF-ECL-3-A,A,
7/10/2015,10,H-CF-ECL-3-B,D,
7/10/2015,10,H-CF-ECL-3-C,D,
7/10/2015,10,H-CF-ECL-4-A,A,
7/10/2015,10,H-CF-ECL-4-B,A,
7/10/2015,10,H-CF-ECL-4-C,D,
7/10/2015,10,H-5A-ECL-1-A,D,
7/10/2015,10,H-5A-ECL-1-B,D,
7/10/2015,10,H-5A-ECL-1-C,D,
7/10/2015,10,H-5A-ECL-2-A,D,
7/10/2015,10,H-5A-ECL-2-B,D,
7/10/2015,10,H-5A-ECL-2-C,D,
7/10/2015,10,H-5A-ECL-3-A,D,
7/10/2015,10,H-5A-ECL-3-B,D,
7/10/2015,10,H-5A-ECL-3-C,D,
7/10/2015,10,H-5A-ECL-4-A,D,
7/10/2015,10,H-5A-ECL-4-B,D,
7/10/2015,10,H-5A-ECL-4-C,D,
7/11/2015,11,H-CO-ECL-1-A,A,
7/11/2015,11,H-CO-ECL-1-B,A,
7/11/2015,11,H-CO-ECL-1-C,A,
7/11/2015,11,H-CO-ECL-2-A,A,
7/11/2015,11,H-CO-ECL-2-B,A,
7/11/2015,11,H-CO-ECL-2-C,A,
7/11/2015,11,H-CO-ECL-3-A,A,
7/11/2015,11,H-CO-ECL-3-B,A,
7/11/2015,11,H-CO-ECL-3-C,A,
7/11/2015,11,H-CO-ECL-4-A,A,
7/11/2015,11,H-CO-ECL-4-B,A,
7/11/2015,11,H-CO-ECL-4-C,A,
7/11/2015,11,H-CF-ECL-1-A,A,
7/11/2015,11,H-CF-ECL-1-B,A,
7/11/2015,11,H-CF-ECL-1-C,A,
7/11/2015,11,H-CF-ECL-2-A,D,
7/11/2015,11,H-CF-ECL-2-B,D,
7/11/2015,11,H-CF-ECL-2-C,D,
7/11/2015,11,H-CF-ECL-3-A,A,
7/11/2015,11,H-CF-ECL-3-B,D,
7/11/2015,11,H-CF-ECL-3-C,D,
7/11/2015,11,H-CF-ECL-4-A,A,
7/11/2015,11,H-CF-ECL-4-B,A,
7/11/2015,11,H-CF-ECL-4-C,D,
7/11/2015,11,H-5A-ECL-1-A,D,
7/11/2015,11,H-5A-ECL-1-B,D,
7/11/2015,11,H-5A-ECL-1-C,D,
7/11/2015,11,H-5A-ECL-2-A,D,
7/11/2015,11,H-5A-ECL-2-B,D,
7/11/2015,11,H-5A-ECL-2-C,D,
7/11/2015,11,H-5A-ECL-3-A,D,
7/11/2015,11,H-5A-ECL-3-B,D,
7/11/2015,11,H-5A-ECL-3-C,D,
7/11/2015,11,H-5A-ECL-4-A,D,
7/11/2015,11,H-5A-ECL-4-B,D,
7/11/2015,11,H-5A-ECL-4-C,D,
7/12/2015,12,H-CO-ECL-1-A,A,
7/12/2015,12,H-CO-ECL-1-B,A,
7/12/2015,12,H-CO-ECL-1-C,A,
7/12/2015,12,H-CO-ECL-2-A,A,
7/12/2015,12,H-CO-ECL-2-B,A,
7/12/2015,12,H-CO-ECL-2-C,A,
7/12/2015,12,H-CO-ECL-3-A,A,
7/12/2015,12,H-CO-ECL-3-B,A,
7/12/2015,12,H-CO-ECL-3-C,A,
7/12/2015,12,H-CO-ECL-4-A,A,
7/12/2015,12,H-CO-ECL-4-B,A,
7/12/2015,12,H-CO-ECL-4-C,A,
7/12/2015,12,H-CF-ECL-1-A,A,
7/12/2015,12,H-CF-ECL-1-B,A,
7/12/2015,12,H-CF-ECL-1-C,A,
7/12/2015,12,H-CF-ECL-2-A,D,
7/12/2015,12,H-CF-ECL-2-B,D,
7/12/2015,12,H-CF-ECL-2-C,D,
7/12/2015,12,H-CF-ECL-3-A,A,
7/12/2015,12,H-CF-ECL-3-B,D,
7/12/2015,12,H-CF-ECL-3-C,D,
7/12/2015,12,H-CF-ECL-4-A,A,
7/12/2015,12,H-CF-ECL-4-B,A,
7/12/2015,12,H-CF-ECL-4-C,D,
7/12/2015,12,H-5A-ECL-1-A,D,
7/12/2015,12,H-5A-ECL-1-B,D,
7/12/2015,12,H-5A-ECL-1-C,D,
7/12/2015,12,H-5A-ECL-2-A,D,
7/12/2015,12,H-5A-ECL-2-B,D,
7/12/2015,12,H-5A-ECL-2-C,D,
7/12/2015,12,H-5A-ECL-3-A,D,
7/12/2015,12,H-5A-ECL-3-B,D,
7/12/2015,12,H-5A-ECL-3-C,D,
7/12/2015,12,H-5A-ECL-4-A,D,
7/12/2015,12,H-5A-ECL-4-B,D,
7/12/2015,12,H-5A-ECL-4-C,D,
