"day","camera","replicate","treatment","t1_distance","t2_distance","t3_distance","t4_distance","t5_distance","t6_distance","t7_distance","t8_distance","t9_distance","t10_distance","t11_distance","t12_distance","t13_distance","t14_distance","t15_distance","t16_distance","t17_distance","t18_distance","total_distance","t1_time_spent_in_open","t2_time_spent_in_open","t3_time_spent_in_open","t4_time_spent_in_open","t5_time_spent_in_open","t6_time_spent_in_open","t7_time_spent_in_open","t8_time_spent_in_open","t9_time_spent_in_open","t10_time_spent_in_open","t11_time_spent_in_open","t12_time_spent_in_open","t13_time_spent_in_open","t14_time_spent_in_open","t15_time_spent_in_open","t16_time_spent_in_open","t17_time_spent_in_open","t18_time_spent_in_open","total_opentime","t1_distance_spent_in_open","t2_distance_spent_in_open","t3_distance_spent_in_open","t4_distance_spent_in_open","t5_distance_spent_in_open","t6_distance_spent_in_open","t7_distance_spent_in_open","t8_distance_spent_in_open","t9_distance_spent_in_open","t10_distance_spent_in_open","t11_distance_spent_in_open","t12_distance_spent_in_open","t13_distance_spent_in_open","t14_distance_spent_in_open","t15_distance_spent_in_open","t16_distance_spent_in_open","t17_distance_spent_in_open","t18_distance_spent_in_open","total_open_distance"
"day 2","cam 2","rep6","control",0,388.37,165.32,188.98,230.75,77.99,111.52,103.71,122.55,122.59,79.27,93.48,126.61,79.35,116.07,82.65,73.22,70.14,2232.57,0,28.0936454849498,65.819397993311,168.026755852843,29.9665551839465,0,54.314381270903,105.685618729097,15.5183946488294,0.267558528428094,0,0,14.180602006689,0,25.685618729097,0,0,0,507.558528428094,0,40.62,10.33,32.54,24.1,0,11.91,25.54,14.52,0.32,0,0,9.87,0,16.1,0,0,0,185.85
"day 2","cam 3","rep7","control",106.91,106.64,63.41,177.17,238.63,154.32,208.57,124,95.36,92.73,157.3,119.97,104.71,64.81,98.59,59.79,36.14,0,2009.05,8.2943143812709,0,0,104.882943143813,38.5284280936455,4.0133779264214,21.4046822742475,17.123745819398,19.5317725752508,51.6387959866221,59.6655518394649,7.75919732441472,21.1371237458194,0,0,0,0,0,353.979933110368,13.15,0,0,41.64,32.97,3.11,12.76,10.74,14.05,12.42,25.3,2.94,9.83,0,0,0,0,0,178.91
"day 2","cam 3","rep7","control",79.21,231.99,172.71,107.22,62.96,64.92,41.31,20.16,88.8,60.18,62.64,66.39,108.95,81.45,103.26,88.77,107.36,89.05,1637.33,20.6020066889632,73.8461538461539,93.1103678929766,172.040133779264,0,0,0,0,0,0,0,0,0,0,0,113.979933110368,0,150.367892976589,623.946488294314,19.67,61.02,27.26,29.7,0,0,0,0,0,0,0,0,0,0,0,18.78,0,21.13,177.56
"day 2","cam 4","rep8","control",238.6,25.16,78.27,101.6,193.53,136.59,138.07,98.88,90.68,120.63,114.74,118.27,88.9,61.86,47.26,118.57,57.24,51.32,1880.17,10.1672240802676,0,157.859531772575,0,58.5953177257525,9.36454849498328,0,0,0,28.3612040133779,54.8494983277592,48.4280936454849,274.515050167224,599.866220735786,579.264214046823,84.5484949832776,0,0,1905.81939799331,10.77,0,29.1,0,36,5.89,0,0,0,22.85,6.92,18.38,29.47,61.86,34.39,27.26,0,0,282.89
"day 2","cam 4","rep8","control",120.58,33.77,91.22,100.38,108.22,75.28,75.83,59.68,63.31,63.01,91.86,65.99,92.52,67.59,41.78,56.16,109.04,97.94,1414.16,254.448160535117,0,31.304347826087,31.304347826087,0,20.8695652173913,0,0,549.565217391304,446.28762541806,12.5752508361204,11.505016722408,220.735785953177,0,0,0,81.8729096989967,27.5585284280936,1688.02675585284,51.67,0,10.65,17.07,0,9.06,0,0,58.37,47.33,2.48,5.39,31.49,0,0,0,30.97,11.46,275.94
"day 3","cam 1","rep9","control",110.2,87.03,106.98,88.76,71.1,69.82,87.62,85.94,27.45,0,0,12.58,102.23,92.22,88.78,NA,NA,NA,1030.71,93.9130434782609,149.297658862876,78.6622073578595,66.8896321070234,40.6688963210702,38.5284280936455,117.725752508361,179.264214046823,0,0,0,0,130.836120401338,17.9264214046823,12.3076923076923,NA,NA,NA,926.020066889632,14.77,21.52,14.68,13.99,6.5,10.01,20.94,30.32,0,0,0,0,24.81,3.19,3.56,NA,NA,NA,164.29
"day 3","cam 1","rep9","control",71.35,77.82,180.79,143.86,141.76,126.45,157.74,132.99,156.32,103.6,111.07,128.5,80.21,134.82,94.6,NA,NA,NA,1841.88,1.60535117056856,0,18.9966555183947,81.0702341137124,88.561872909699,120.401337792642,37.7257525083612,0,64.2140468227425,76.7892976588629,136.1872909699,155.719063545151,0,100.066889632107,59.1304347826087,NA,NA,NA,940.468227424749,1.06,0,4.42,21.15,26.56,30.35,10.95,0,21.9,13.5,25.31,40.51,0,24.55,14.85,NA,NA,NA,235.11
"day 3","cam 2","rep10","control",107.78,83.2,77.59,94.56,74.75,78.27,81.82,98.32,86.18,77.78,76.1,87.63,73.33,73.51,0,NA,NA,NA,1170.82,0,51.371237458194,0,105.150501672241,0,0,228.227424749164,81.6053511705686,0,0,0,0.535117056856187,0,0,0,NA,NA,NA,466.889632107023,0,6.93,0,20.27,0,0,30.32,15.31,0,0,0,0,0,0,0,NA,NA,NA,72.83
"day 3","cam 2","rep10","control",158.99,103.05,86.83,54.24,58.71,86.23,93.05,78.07,78.73,51.39,74.86,55.82,80.78,1.54,0,NA,NA,NA,1062.29,29.9665551839465,0,0,0,0,0,0,44.1471571906355,1.33779264214047,0,0,0,0,0,0,NA,NA,NA,75.4515050167224,12.21,0,0,0,0,0,0,9.55,0.27,0,0,0,0,0,0,NA,NA,NA,22.03
"day 3","cam 3","rep11","control",163.58,104.79,112.53,91.83,103.42,63.36,72.6,103.06,53.36,0,0,0,0,0,0,NA,NA,NA,868.53,18.9966555183947,0,44.9498327759197,0,0,0,0,103.277591973244,0,0,0,0,0,0,0,NA,NA,NA,167.224080267559,7.62,0,13.56,0,0,0,0,31.63,0,0,0,0,0,0,0,NA,NA,NA,52.81
