"day","camera","arena","infection.status","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t1_time_spent_in_open","t2_time_spent_in_open","t3_time_spent_in_open","t4_time_spent_in_open","t5_time_spent_in_open","t6_time_spent_in_open","t7_time_spent_in_open","t8_time_spent_in_open","t9_time_spent_in_open","t10_time_spent_in_open","t11_time_spent_in_open","t12_time_spent_in_open","t13_time_spent_in_open","t14_time_spent_in_open","t15_time_spent_in_open","t16_time_spent_in_open","t17_time_spent_in_open","t18_time_spent_in_open","t1_distance_spent_in_open","t2_distance_spent_in_open","t3_distance_spent_in_open","t4_distance_spent_in_open","t5_distance_spent_in_open","t6_distance_spent_in_open","t7_distance_spent_in_open","t8_distance_spent_in_open","t9_distance_spent_in_open","t10_distance_spent_in_open","t11_distance_spent_in_open","t12_distance_spent_in_open","t13_distance_spent_in_open","t14_distance_spent_in_open","t15_distance_spent_in_open","t16_distance_spent_in_open","t17_distance_spent_in_open","t18_distance_spent_in_open"
"day 4","cam 3","arena 15","infected",336.2,238.66,152.01,114.95,93.24,91.03,74.61,108.17,67.42,76.37,75.51,86.19,28.38,0,0,0,0,NA,87.7591973244147,27.0234113712375,1.33779264214047,0,0,0,0,20.6020066889632,0,0,2.67558528428094,42.2742474916388,44.9498327759197,0,0,0,0,NA,72.87,28.75,0.89,0,0,0,0,10.49,0,0,0.5,11.9,8.1,0,0,0,0,NA
"day 4","cam 3","arena 15","infected",262.44,240.31,183.95,169.49,118.73,140.5,119.86,96.47,84.61,85.33,106.66,53.42,66.42,111.98,98.77,66.98,68.55,NA,15.7859531772575,14.4481605351171,195.05016722408,0,0,61.0033444816054,42.809364548495,91.2374581939799,55.9197324414716,0,0,0,0,37.7257525083612,59.1304347826087,0,0,NA,14.55,9.41,33.18,0,0,17.38,6.35,14.85,11.45,0,0,0,0,9.61,12.77,0,0,NA
"day 4","cam 3","arena 15","control",328.16,250.69,211.77,176.94,150.38,165.75,179.41,134.54,148.95,156.79,114.91,7.96,142.05,107.81,151.35,109.34,122.35,NA,22.742474916388,16.3210702341137,0,0,0,13.9130434782609,0,13.3779264214047,25.4180602006689,0,42.5418060200669,21.9397993311037,199.33110367893,0,38.2608695652174,0,0,NA,24.59,15.44,0,0,0,13.77,0,6.34,9.9,0,25.47,1.67,68.6,0,10.87,0,0,NA
"day 4","cam 3","arena 15","control",550.03,422.29,326.41,297.3,277.8,270.39,243.14,146.69,141.2,112.91,131.09,82.31,127.82,54.25,4.24,0.89,36.19,NA,34.5150501672241,32.3745819397993,25.9531772575251,54.5819397993311,3.74581939799331,0,0,23.2775919732441,67.9598662207358,0,116.387959866221,0,118.795986622074,14.4481605351171,0,0,0,NA,54.28,42.34,23.39,57.87,0.97,0,0,9.96,26.59,0,43.26,0,23.85,5.37,0,0,0,NA
"day 4","cam 4","arena 16","infected",310.84,169.79,164.52,238.28,194.51,59.8,187.33,148.53,121.43,61.59,131.07,155.45,100.1,69.75,59.26,42.07,50.19,NA,0,36.1204013377926,89.3645484949833,24.0802675585284,39.3311036789298,0,64.2140468227425,31.304347826087,2.67558528428094,0,13.1103678929766,47.0903010033445,0,0,0,0,0,NA,0,11.25,30.53,16.21,24.1,0,29.29,17.16,2.45,0,16.64,27.1,0,0,0,0,0,NA
"day 4","cam 4","arena 16","infected",284.51,288.64,113.64,123.4,187.46,156.05,64.39,93.74,100.74,141.51,121.46,67.99,73.54,105.87,83.97,74.86,106.61,NA,13.9130434782609,94.7157190635452,21.4046822742475,5.08361204013378,51.1036789297659,0,0,334.715719063545,272.642140468227,211.90635451505,12.0401337792642,0,0,17.6588628762542,0,0,42.0066889632107,NA,27.9,49.33,11,9.74,30.28,0,0,34.19,38.64,28.18,2.29,0,0,7.27,0,0,15.42,NA
"day 4","cam 4","arena 16","control",395.41,231.89,201.36,213.27,267.75,140.64,95.21,46.99,183,92.64,80.72,57.1,0,64.42,116.8,107.49,62.92,NA,56.9899665551839,0,16.8561872909699,8.02675585284281,29.6989966555184,0,0,0,59.933110367893,0,0,0,0,0,18.4615384615385,64.4816053511706,0,NA,62.43,0,17.58,8.49,28.69,0,0,0,25.6,0,0,0,0,0,9.37,12.86,0,NA
"day 4","cam 4","arena 16","control",258.66,244.07,180.46,251.56,136.28,105.33,100.69,95.15,100.33,128.77,95.78,93.54,0,89.65,114.73,81.25,51.45,NA,12.5752508361204,29.6989966555184,10.1672240802676,81.3377926421405,0,0,0,112.374581939799,37.190635451505,40.6688963210702,0,0,0,0,7.49163879598662,0,0,NA,11.74,21.24,6.99,41.02,0,0,0,21.77,17.72,12.82,0,0,0,0,4.11,0,0,NA
"day 5","cam 1","arena 17","infected",231.47,177.1,150.16,124.87,113.57,101.27,124.19,75.64,1.31,0,4.55,97.41,87.28,69.92,108.36,95.75,72.11,NA,122.541806020067,40.133779264214,169.899665551839,74.9163879598662,24.6153846153846,6.95652173913044,78.6622073578595,0,0,0,0,6.68896321070234,0,0,130.033444816054,21.4046822742475,0,NA,41.16,11.59,47.28,20.43,6.68,2.85,19.41,0,0,0,0,2.52,0,0,29.28,7.02,0,NA
"day 5","cam 1","arena 17","infected",310.24,250.97,190.09,191.51,164.95,155.67,130.08,115.87,145.72,146,113.37,111.94,86.63,80.9,103.8,104.66,75.69,NA,78.3946488294314,35.0501672240803,0,23.0100334448161,31.8394648829431,23.0100334448161,48.9632107023411,34.7826086956522,69.0301003344482,29.6989966555184,162.943143812709,82.1404682274247,0,0,0,0,0,NA,64.03,11.27,0,9.44,9.98,3.59,11.31,12.14,23.71,7.82,42.27,24.69,0,0,0,0,0,NA
"day 5","cam 1","arena 17","control",97.28,292.63,23.81,0,0,29.2,477.78,428.76,426.63,297.12,174.03,91.9,131.6,93.61,113,91.52,126.5,NA,0,25.1505016722408,0,0,0,0,92.0401337792642,66.6220735785953,73.0434782608696,110.234113712375,35.0501672240803,9.36454849498328,35.8528428093646,507.023411371238,0,0,41.2040133779264,NA,0,34.42,0,0,0,0,97.49,36.17,62.12,46.87,16.95,7.73,18.45,59.2,0,0,22.53,NA
"day 5","cam 1","arena 17","control",397.26,375.78,346.39,279.31,179.99,243.55,201.09,151.82,100.48,81.99,78.21,22.64,0,0,0,12.69,67.67,NA,10.4347826086957,42.2742474916388,20.8695652173913,0,1.87290969899666,63.1438127090301,73.8461538461539,0,0,0,0,0,0,0,0,0,0,NA,11.57,53.01,18.82,0,1.43,40.63,30.67,0,0,0,0,0,0,0,0,0,0,NA
"day 5","cam 2","arena 18","infected",237.28,177.51,153.63,124.44,75.14,62.67,43.33,0,0,0,0,33.66,0,0,0,0,0,NA,8.02675585284281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"day 5","cam 2","arena 18","infected",201.76,139.64,106.57,88.64,100.42,108.3,86.06,91.1,101.68,85.83,87.9,90.48,83.7,83.77,50.97,70.89,77.53,NA,69.0301003344482,50.0334448160535,0,0,235.451505016722,118.260869565217,0,0,48.695652173913,0,82.6755852842809,42.5418060200669,0,0,0,0,0,NA,33.54,18.86,0,0,28.63,22.97,0,0,13.05,0,14.39,11.29,0,0,0,0,0,NA
"day 5","cam 2","arena 18","control",345.05,169.75,130.56,123.54,87.24,101.47,83.12,51.44,0,0,0,19.69,0,0,0,0,0,NA,6.15384615384615,0,9.36454849498328,26.2207357859532,0,347.826086956522,39.0635451505017,0,0,0,0,0,0,0,0,0,0,NA,13.25,0,13.64,12.35,0,61.14,4.23,0,0,0,0,0,0,0,0,0,0,NA
"day 5","cam 2","arena 18","control",486.15,194.51,121.24,44.74,52.86,49.88,57.29,40.12,0,0,0,32.21,0,0,0,0,0,NA,100.066889632107,0,16.0535117056856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,92.73,0,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"day 5","cam 3","arena 19","infected",267.19,248.61,202.57,190.35,146.8,200.55,148.66,147.83,122.85,78.25,69.09,46.15,41.68,41.82,42.56,67.87,62.47,NA,10.9698996655518,23.0100334448161,60.2006688963211,0,0,16.8561872909699,0,28.0936454849498,0,0,0,0,0,0,0,0,0,NA,2.9,9.91,30.7,0,0,10.2,0,14.51,0,0,0,0,0,0,0,0,0,NA
"day 5","cam 3","arena 19","infected",346.62,406.23,372.04,226.66,136.42,155.46,135.77,112.74,118.01,67.39,119.14,95.86,137.77,114.08,112.82,72.12,119.03,NA,58.8628762541806,46.2876254180602,36.3879598662207,7.49163879598662,68.494983277592,20.3344481605351,0,50.5685618729097,97.123745819398,0,47.6254180602007,0,106.755852842809,0,59.6655518394649,0,70.3678929765886,NA,51.13,53.61,37.04,8.21,28.86,9.95,0,10.59,15.98,0,12.45,0,38.73,0,20.56,0,23.31,NA
"day 5","cam 3","arena 19","control",566.9,271.04,221.9,185.37,207,215.15,191.87,104.61,102.46,84.53,106.11,110.5,63.88,106.46,79.01,82.13,47.9,NA,47.8929765886288,9.89966555183947,42.2742474916388,50.0334448160535,20.6020066889632,53.7792642140468,35.0501672240803,0,0,0,46.5551839464883,69.2976588628763,0,80.8026755852843,0,77.3244147157191,0,NA,67.2,11.31,11.6,25.42,13.58,33.45,20.42,0,0,0,10.52,24.05,0,19.75,0,16.77,0,NA
"day 5","cam 3","arena 19","control",420.48,339.16,295.89,171.94,135.3,134.44,113.55,113.11,87.69,116.12,70.19,123.53,69.88,67.45,70.5,46.2,72.68,NA,47.6254180602007,12.0401337792642,0,61.5384615384615,133.511705685619,43.0769230769231,2.40802675585284,0,5.61872909698997,203.879598662207,0,50.5685618729097,0,0,0,0,118.795986622074,NA,42.91,9.4,0,15.72,20.96,12.32,1.53,0,2.97,38.97,0,22.07,0,0,0,0,17.38,NA
"day 5","cam 4","arena 20","infected",175.82,178.27,171.8,119.59,162.4,105.55,110.24,118.68,136.95,123.78,92.45,126.87,105.59,121.46,96.04,108.72,102.66,NA,3.74581939799331,0,60.2006688963211,37.190635451505,51.9063545150502,0,1.07023411371237,0,73.5785953177258,67.6923076923077,0,11.7725752508361,0,27.5585284280936,0,54.314381270903,105.418060200669,NA,2.73,0,14.74,10.25,18.89,0,0.16,0,13.96,16.18,0,2.94,0,10.73,0,12.33,31.1,NA
"day 5","cam 4","arena 20","infected",266.1,212.73,195.04,129.17,166.74,126.03,90.8,113.62,101.41,76.65,77.97,71.31,74.54,72.75,79.95,79.41,67.2,NA,78.6622073578595,0,40.133779264214,24.6153846153846,21.6722408026756,0,48.1605351170569,0,234.113712374582,640,449.230769230769,0,0,0,0,0,0,NA,40.7,0,16.11,5.99,5.3,0,15.43,0,30.95,76.65,54.44,0,0,0,0,0,0,NA
"day 5","cam 4","arena 20","control",268.14,160.03,121.18,143.77,131.13,170.18,87.4,116.56,76.24,100.92,134.69,96.44,77.64,107.51,72.77,71.29,55.37,NA,143.946488294314,242.943143812709,216.1872909699,277.190635451505,104.882943143813,37.7257525083612,0,214.314381270903,14.9832775919732,0,32.1070234113712,2.67558528428094,0,98.9966555183946,0,0,0,NA,58.15,22.44,37.02,63.06,29.52,16.15,0,33.55,2.18,0,12.36,0.64,0,18.13,0,0,0,NA
"day 5","cam 4","arena 20","control",453.27,312.01,187.42,233.87,146.47,155.83,60.76,110.8,124.63,63.24,124.98,64.34,47.13,48.05,5.79,0,0,NA,18.4615384615385,49.7658862876254,39.0635451505017,24.0802675585284,4.0133779264214,0,0,33.9799331103679,7.22408026755853,260.602006688963,192.374581939799,0,0,0,0,0,0,NA,32.42,29.53,22.93,21.32,3.78,0,0,26.57,2.23,25.07,34.68,0,0,0,0,0,0,NA
"day 6","cam 1","arena 21","infected",249.19,126.83,222.24,264.46,197.97,155.7,58.24,141.84,159.14,142.55,102.8,204.31,98.96,107.08,78.37,82.74,69.43,NA,79.4648829431438,0,16.0535117056856,59.1304347826087,9.36454849498328,17.123745819398,0,28.628762541806,36.3879598662207,0,50.8361204013378,44.6822742474916,311.973244147157,0,0,0,0,NA,52.84,0,11.87,42.23,11.2,6.62,0,18.65,21.73,0,12.51,26.92,45.71,0,0,0,0,NA
"day 6","cam 1","arena 21","infected",321.52,283.95,172.13,135.96,205.29,97.96,161.92,159.09,127.42,128.62,90.39,111.55,0,0,0,20.08,0,NA,30.7692307692308,0,26.2207357859532,12.8428093645485,16.5886287625418,22.742474916388,34.247491638796,12.0401337792642,0,157.324414715719,0,32.3745819397993,0,0,0,0,0,NA,34.83,0,21.8,12.83,11.53,8.63,16.27,4.82,0,42.28,0,10.51,0,0,0,0,0,NA
"day 6","cam 1","arena 21","control",217,158.88,82.09,136.8,75.1,73.92,19.57,0,0,0,0,2.31,0,0,0,5.18,135.81,NA,0,0,0,58.0602006688963,0,0,0,0,0,0,0,0,0,0,0,0,36.9230769230769,NA,0,0,0,16.81,0,0,0,0,0,0,0,0,0,0,0,0,11.07,NA
"day 6","cam 1","arena 21","control",137.06,128.37,119.33,81.09,101.13,122.62,87.64,122.12,80.94,71.33,97.14,53.38,0,0,0,0,0,NA,24.3478260869565,16.5886287625418,0,0,0,89.3645484949833,0,223.678929765886,0,0,0,0,0,0,0,0,0,NA,4.45,4.99,0,0,0,16.77,0,53.8,0,0,0,0,0,0,0,0,0,NA
"day 6","cam 2","arena 22","infected",175.89,277.71,145.81,173.96,166.91,109.58,103.43,138.62,77.29,157.28,101.64,23.76,0,0,0,0,0,NA,0,13.6454849498328,27.0234113712375,0,15.5183946488294,0,88.8294314381271,42.809364548495,0,10.1672240802676,0,0,0,0,0,0,0,NA,0,8.46,21.61,0,7.81,0,31.45,22.56,0,6.46,0,0,0,0,0,0,0,NA
"day 6","cam 2","arena 22","infected",187.33,294.8,202.68,201.68,241.82,199.02,100.32,97.25,144.95,118.24,145.49,130.94,95.16,87.11,150.58,108.23,92.29,NA,0,10.4347826086957,0,14.180602006689,33.7123745819398,44.6822742474916,0,0,6.42140468227425,0,28.0936454849498,0,0,53.2441471571906,90.4347826086957,109.163879598662,0,NA,0,8.77,0,5.43,21.46,18.49,0,0,4.03,0,12.88,0,0,14.41,24.75,27.64,0,NA
"day 6","cam 2","arena 22","control",309.8,273.13,178.95,224.06,202.44,162.52,110.81,76.54,112.01,123.32,84.28,54.99,71.83,114.98,88.31,107.02,86.05,NA,2.14046822742475,0,10.1672240802676,24.6153846153846,0,0,0,0,51.9063545150502,8.561872909699,2.67558528428094,0,10.9698996655518,17.3913043478261,17.123745819398,21.1371237458194,31.0367892976589,NA,3.71,0,10.78,11.15,0,0,0,0,15.78,4.81,0.55,0,6.04,9.97,5.13,12.2,12.28,NA
"day 6","cam 2","arena 22","control",282.5,223.2,186.91,92.43,61.17,59.61,63.03,22.44,0,0,0,31.79,0,0,0,0,0,NA,71.9732441471572,21.4046822742475,103.010033444816,84.0133779264214,88.0267558528428,107.558528428094,0,0,0,0,0,0,0,0,0,0,0,NA,58.31,16.06,57.25,6.65,11.84,8.39,0,0,0,0,0,0,0,0,0,0,0,NA
"day 6","cam 3","arena 23","infected",181.06,176.91,141.02,148.84,142.21,166.31,162.79,133.31,130.02,81.09,139.4,117.63,125.35,108.82,120.67,87.32,88.3,NA,19.7993311036789,11.505016722408,0,38.7959866220736,0,75.7190635451505,0,0,0,0,0,25.685618729097,0,0,0,0,182.742474916388,NA,9.5,6.68,0,13.21,0,20.47,0,0,0,0,0,7.97,0,0,0,0,22.55,NA
"day 6","cam 3","arena 23","infected",252.76,182.12,183.17,153.39,115.82,137.2,46.48,125.1,53.05,0,0,1.92,0,0,0,0,0,NA,22.4749163879599,0,25.685618729097,12.8428093645485,0,51.1036789297659,0,108.361204013378,0,0,0,0,0,0,0,0,0,NA,18.2,0,17.92,3.15,0,30.64,0,35.69,0,0,0,0,0,0,0,0,0,NA
"day 6","cam 3","arena 23","control",292.58,177.84,180.91,197.6,137.33,200.16,163.48,71.08,185.64,128.66,64.11,69.64,103.14,118.8,113.37,138.67,87.1,NA,27.5585284280936,0,164.280936454849,36.3879598662207,10.9698996655518,49.7658862876254,60.7357859531773,432.107023411371,203.344481605351,87.2240802675585,351.839464882943,62.0735785953177,134.046822742475,350.234113712375,167.224080267559,215.919732441472,411.772575250836,NA,48.84,0,35.33,25.04,11.18,22.11,26.26,48.9,55.05,25.7,35.83,10.02,28.51,65.37,25.99,56.92,54.43,NA
"day 6","cam 3","arena 23","control",27.99,0,0,0,0,1.46,0,0,0,0,0,2.84,0,0,0,0.94,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"day 6","cam 4","arena 24","infected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"day 6","cam 4","arena 24","infected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"day 6","cam 4","arena 24","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"day 6","cam 4","arena 24","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"day 7","cam 1","arena 25","infected",367.16,254.72,209.25,175.07,182.21,114.68,130.05,88.04,173.67,109.32,109.12,81.62,146.95,106.14,153.57,112.16,98.95,NA,12.0401337792642,8.82943143812709,122.006688963211,32.3745819397993,128.160535117057,0,64.2140468227425,0,200.936454849498,63.1438127090301,14.7157190635452,0,64.2140468227425,115.585284280936,85.3511705685619,63.1438127090301,14.7157190635452,NA,21.75,7.54,37.1,15.92,28.6,0,23.38,0,63.54,16.74,2.92,0,23.38,38.08,25.46,16.74,2.92,NA
"day 7","cam 1","arena 25","infected",176.82,95.6,68.4,135.39,92.05,77.83,98.8,107.27,96.71,55.87,61.82,82.18,102.65,104.25,89.25,56.36,55.37,NA,28.628762541806,0,0,0,17.123745819398,0,0,120.401337792642,59.933110367893,0,0,0,50.8361204013378,69.5652173913043,59.933110367893,0,0,NA,15.47,0,0,0,1.46,0,0,23.32,12.44,0,0,0,8.56,14.77,12.44,0,0,NA
"day 7","cam 1","arena 25","control",309.61,318.03,353.95,303.98,298.86,306.18,254.36,223.3,272.1,154.02,157,246.96,230.85,231.71,249.88,136.06,143.15,NA,26.2207357859532,1.60535117056856,24.3478260869565,3.47826086956522,8.2943143812709,0,0,38.7959866220736,113.444816053512,93.1103678929766,36.6555183946488,0,0,132.441471571906,19.7993311036789,93.1103678929766,36.6555183946488,NA,19.51,0.77,17.37,2.1,6.72,0,0,19.44,43.69,15.85,19.91,0,0,55.52,7.61,15.85,19.91,NA
"day 7","cam 1","arena 25","control",224.45,212.1,246.09,216.07,72.98,73.94,133.17,83.58,40.43,0,0,70.3,128.74,89.69,5.76,0,0,NA,2.40802675585284,0,37.7257525083612,57.257525083612,0,0,18.7290969899666,0,0,0,0,0,18.7290969899666,0,0,0,0,NA,7.54,0,31.94,30.03,0,0,8.69,0,0,0,0,0,8.69,0,0,0,0,NA
"day 7","cam 2","arena 26","infected",45.79,33.38,100.16,23.48,10.78,23.56,0,0,22.1,5.57,3.68,37.37,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"day 7","cam 2","arena 26","infected",97.81,98.88,98.82,55.42,40.73,50.05,76.96,57.88,66.1,57.34,60.27,79.41,58.69,43.49,NA,NA,NA,NA,0,65.2842809364548,56.9899665551839,0,0,0,0,0,60.2006688963211,0,0,0,0,70.3678929765886,NA,NA,NA,NA,0,21.91,11.75,0,0,0,0,0,10.88,0,0,0,0,13.49,NA,NA,NA,NA
"day 7","cam 2","arena 26","control",376.14,354.55,346.34,223.29,227.88,182.56,185.11,177.81,124.6,113.2,125.36,85.41,80.03,48.57,NA,NA,NA,NA,0,95.2508361204013,38.2608695652174,0,56.1872909698997,29.1638795986622,43.0769230769231,15.7859531772575,25.1505016722408,25.4180602006689,53.5117056856187,0,0,47.6254180602007,NA,NA,NA,NA,0,80.19,21.35,0,37.88,13.3,19.42,6.86,11.94,11.41,27.86,0,0,12.01,NA,NA,NA,NA
"day 7","cam 2","arena 26","control",237.43,204.99,75.27,256.5,162.57,160.99,124.27,81.59,92.21,127.75,113.94,96.45,16.25,0,NA,NA,NA,NA,8.82943143812709,0,0,6.15384615384615,45.2173913043478,109.163879598662,46.2876254180602,0,0,79.4648829431438,109.966555183946,0,0,0,NA,NA,NA,NA,24.31,0,0,6.48,15.3,37.12,11.93,0,0,30.68,19.67,0,0,0,NA,NA,NA,NA
"day 7","cam 3","arena 27","infected",255.59,240.3,202.97,105.88,106.13,105.58,92.77,81.28,78.6,88.39,99.61,31.86,0,0,0,0,0,NA,0,0,0,40.4013377926421,69.0301003344482,218.862876254181,4.0133779264214,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,11.35,16.27,44.09,0.56,0,0,0,0,0,0,0,0,0,0,NA
"day 7","cam 3","arena 27","infected",160.48,194.4,147.81,97.43,101.18,98.27,85.91,114.41,70.01,96.67,107.2,129.94,114.66,96.63,78.4,84.79,86.71,NA,0.802675585284281,38.7959866220736,46.8227424749164,57.5250836120401,19.5317725752508,0,66.3545150501672,80.2675585284281,0,0,45.2173913043478,125.217391304348,4.54849498327759,104.882943143813,0,0,0,NA,0.88,12.02,18.36,13.98,3.37,0,12.4,30.17,0,0,17.16,36.74,2.03,25.85,0,0,0,NA
"day 7","cam 3","arena 27","control",306.56,217.47,47.36,52.25,33.27,154.92,88.65,0,0,0,0,50.35,126.94,82.92,80.27,64,66.03,NA,10.9698996655518,9.09698996655518,0,0,0,56.7224080267559,45.2173913043478,0,0,0,0,0,196.120401337793,640,640,640,584.882943143813,NA,14.67,9.24,0,0,0,32.62,18.49,0,0,0,0,0,34.08,82.92,80.27,64,66.03,NA
"day 7","cam 3","arena 27","control",210.94,200.81,93.43,183.5,315.15,225.76,246.29,252.82,172.99,178.82,125.06,75.18,78.36,85.69,114.86,123.86,99.86,NA,9.09698996655518,21.6722408026756,0,69.0301003344482,72.5083612040134,0,11.505016722408,62.6086956521739,42.5418060200669,76.2541806020067,45.2173913043478,0,0,0,16.0535117056856,76.7892976588629,0,NA,9.74,31.53,0,33.42,44.02,0,9.48,35.93,24.06,31.11,10.72,0,0,0,3.55,25.45,0,NA
"day 7","cam 4","arena 28","infected",87.01,59.95,83.96,85.07,76.65,75.13,0,0.01,177.34,149.75,138.07,136.13,94.93,112.3,123.63,112.96,73.93,NA,6.95652173913044,0,284.94983277592,553.311036789298,70.3678929765886,92.0401337792642,0,0,25.9531772575251,74.6488294314381,32.6421404682274,29.9665551839465,23.2775919732441,0,35.5852842809365,35.0501672240803,0,NA,3.64,0,36.31,69.35,7.11,15.9,0,0,5.91,18.38,15.2,10.28,4.8,0,11.33,9.33,0,NA
"day 7","cam 4","arena 28","infected",125.67,260.29,129.43,176.7,186.79,176.89,179.55,163.95,160.01,133.13,119.77,120,83.54,115.5,111.63,98.35,80.14,NA,0,13.6454849498328,12.0401337792642,5.08361204013378,72.5083612040134,17.9264214046823,31.0367892976589,0,74.1137123745819,73.5785953177258,7.75919732441472,1.33779264214047,0,67.1571906354515,50.5685618729097,0,0,NA,0,9.78,9.26,4.44,22.14,9.67,16.69,0,17.39,21.64,4.31,0.43,0,20.7,13.32,0,0,NA
"day 7","cam 4","arena 28","control",341.89,282.3,257.7,201.08,114.78,131.98,207.32,154.33,5.42,40.85,64.84,71.53,51.33,47.51,12.81,9.29,32.44,NA,67.4247491638796,36.3879598662207,51.371237458194,39.0635451505017,0,22.742474916388,77.056856187291,15.7859531772575,0,0,0,0,0,0,0,0,0,NA,46.66,14.78,29.68,25.62,0,13.02,35.25,11.36,0,0,0,0,0,0,0,0,0,NA
"day 7","cam 4","arena 28","control",147.57,121.7,120.99,111.45,83,101.91,111.48,83.1,79.58,88.64,93.59,113.29,87.21,93.37,87.95,35.48,41.26,NA,48.9632107023411,7.22408026755853,0,0,0,39.0635451505017,28.3612040133779,0,0,0,46.0200668896321,132.976588628763,0,56.1872909698997,21.9397993311037,0,0,NA,13.82,4.6,0,0,0,11.9,9.69,0,0,0,13.06,24.66,0,11.22,8.99,0,0,NA
"day 8","cam 1","arena 29","infected",101.67,370.46,222.92,238.28,224.38,189.42,181.36,158.38,128.88,117.5,97.34,84.54,108.73,134.06,101.77,81.92,102.71,NA,41.2040133779264,0.802675585284281,12.5752508361204,39.5986622073579,81.0702341137124,35.3177257525084,105.685618729097,22.2073578595318,47.6254180602007,0,0,0,30.2341137123746,27.2909698996656,0,0,65.5518394648829,NA,27.73,0.73,11.28,28.43,55.62,24.61,48.87,9.94,14.43,0,0,0,10.02,12.6,0,0,16.92,NA
"day 8","cam 1","arena 29","infected",142.99,32.09,0,0,0,21.3,0,0,0,0,0,16.13,0,0,0,0,0,NA,1.60535117056856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"day 8","cam 1","arena 29","control",252.32,341.36,282.91,113.47,378.22,190.93,87.77,100.51,115.58,116.86,206.29,204.46,255.21,204.21,197.75,171.58,90.27,NA,17.9264214046823,36.9230769230769,158.127090301003,0,1.33779264214047,0,12.3076923076923,21.9397993311037,0,37.7257525083612,89.6321070234114,48.9632107023411,62.3411371237458,0,24.3478260869565,143.411371237458,121.204013377926,NA,15.77,25.63,42,0,1.5,0,3.59,6.77,0,24.5,27.51,27.61,34.1,0,3.58,38.73,25.3,NA
"day 8","cam 1","arena 29","control",340.86,428.95,184.28,73.08,264.28,103.68,106.99,115.54,222.57,112.77,71.19,38.11,0,0,0,79.65,108.32,NA,7.49163879598662,38.2608695652174,106.755852842809,0,98.4615384615385,18.4615384615385,11.505016722408,74.6488294314381,122.006688963211,115.317725752508,0,0,0,0,0,170.167224080268,149.565217391304,NA,10.61,20.12,24.09,0,62.61,14.7,7.67,22.08,47.78,22.9,0,0,0,0,0,33.78,25.36,NA
"day 8","cam 2","arena 30","infected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"day 8","cam 2","arena 30","infected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
