"day","camera","arena","infection.status","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t1_time_spent_in_open","t2_time_spent_in_open","t3_time_spent_in_open","t4_time_spent_in_open","t5_time_spent_in_open","t6_time_spent_in_open","t7_time_spent_in_open","t8_time_spent_in_open","t9_time_spent_in_open","t10_time_spent_in_open","t11_time_spent_in_open","t12_time_spent_in_open","t13_time_spent_in_open","t14_time_spent_in_open","t15_time_spent_in_open","t16_time_spent_in_open","t17_time_spent_in_open","t18_time_spent_in_open","t1_distance_spent_in_open","t2_distance_spent_in_open","t3_distance_spent_in_open","t4_distance_spent_in_open","t5_distance_spent_in_open","t6_distance_spent_in_open","t7_distance_spent_in_open","t8_distance_spent_in_open","t9_distance_spent_in_open","t10_distance_spent_in_open","t11_distance_spent_in_open","t12_distance_spent_in_open","t13_distance_spent_in_open","t14_distance_spent_in_open","t15_distance_spent_in_open","t16_distance_spent_in_open","t17_distance_spent_in_open","t18_distance_spent_in_open"
"day 1","cam 4","arena 4","infected",166.97,103.1,60.89,85.13,137.02,54.14,1.39,0,0,0,0,0.08,0,0,0,80,NA,NA,9.89966555183947,4.0133779264214,0,0,46.8227424749164,0,0,0,0,0,0,0,0,0,0,0,NA,NA,8.71,2.87,0,0,15.61,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"day 1","cam 4","arena 4","infected",198.23,205.84,192.22,125.91,89.75,116.34,127.29,92.09,117.93,94.89,122.83,118.92,102.57,94.47,28.81,0,NA,NA,53.7792642140468,22.4749163879599,119.063545150502,12.0401337792642,0,32.1070234113712,35.3177257525084,0,75.4515050167224,8.02675585284281,44.6822742474916,6.42140468227425,0,0,0,0,NA,NA,11.75,16.79,36.62,9.09,0,8.61,15.19,0,14.97,2.81,16.78,4.1,0,0,0,0,NA,NA
"day 1","cam 4","arena 4","control",134.62,182.62,173.85,155.59,135.99,118.32,110.5,82.95,158.61,120.47,58.2,111.57,112.99,137.55,123.7,80.08,NA,NA,8.2943143812709,46.8227424749164,35.5852842809365,31.0367892976589,0,183.8127090301,0,0,340.066889632107,220.200668896321,0,61.5384615384615,43.3444816053512,142.073578595318,73.5785953177258,0,NA,NA,10.64,8.5,13.82,12.36,0,45.53,0,0,87.67,59.55,0,11.86,16.09,41.81,21.82,0,NA,NA
"day 1","cam 4","arena 4","control",0,0,0,0,14.41,115.59,148.34,133.08,132.26,120.03,128.37,93.3,100.66,134.66,89.49,66.82,NA,NA,0,0,0,0,0,119.33110367893,0.802675585284281,18.9966555183947,59.933110367893,27.8260869565217,5.61872909698997,38.7959866220736,33.1772575250836,22.4749163879599,0,0,NA,NA,0,0,0,0,0,30.9,0.17,10.47,16.67,15.67,2.79,12.15,4.21,7.21,0,0,NA,NA
"day 2","cam 1","arena 5","infected",329.08,255.63,259.88,180.97,166.56,109.28,128.96,36.82,0,0,0,14.57,0,0,0,0,0,NA,32.1070234113712,37.190635451505,27.0234113712375,52.9765886287625,83.2107023411371,0,22.742474916388,0,0,0,0,0,0,0,0,0,0,NA,28.87,15.3,32.48,7.18,31.94,0,19.82,0,0,0,0,0,0,0,0,0,0,NA
"day 2","cam 1","arena 5","infected",293.7,211.08,210.25,155.35,133.68,135.52,126.82,161.03,113.09,153.18,60.24,94.39,125.21,112.16,109.8,75.14,97.19,NA,7.22408026755853,20.066889632107,9.36454849498328,0,78.3946488294314,21.1371237458194,0,26.7558528428094,42.2742474916388,50.3010033444816,0,0,36.3879598662207,228.494983277592,0,0,149.297658862876,NA,18.74,19.42,5.44,0,28.96,9.5,0,10.4,18.87,25.51,0,0,15.56,48.7,0,0,25.6,NA
"day 2","cam 1","arena 5","control",282.9,320.36,121.88,124.92,125.71,153.25,132.37,105.56,125.04,105.78,84.04,54.23,65.82,83.41,0,0,0,NA,7.22408026755853,17.6588628762542,0,8.02675585284281,100.066889632107,19.2642140468227,119.33110367893,78.1270903010033,30.2341137123746,21.6722408026756,0,0,0,43.0769230769231,0,0,0,NA,12.82,27.3,0,8.27,37.08,5.47,28.95,21.62,6.27,12.46,0,0,0,11.14,0,0,0,NA
"day 2","cam 1","arena 5","control",295.51,43.08,13.44,6.95,149.64,346.94,225.14,265.8,237.47,140.87,60.84,113.1,156.51,109.64,81.96,75.92,91.56,NA,5.88628762541806,0,0,0,17.9264214046823,70.3678929765886,56.9899665551839,46.0200668896321,39.0635451505017,0,0,56.7224080267559,63.1438127090301,93.9130434782609,0,0,59.1304347826087,NA,8.54,0,0,0,17.22,39.71,44.15,26.76,20.05,0,0,21.85,26.91,32.93,0,0,20.46,NA
"day 2","cam 2","arena 6","infected",209.92,196.56,217.87,124.5,199.74,69.63,175.93,138.9,135.27,37.6,114.47,65.39,118.48,44.27,35.56,47.71,21.44,NA,56.9899665551839,30.5016722408027,37.7257525083612,0.802675585284281,30.7692307692308,46.2876254180602,103.010033444816,154.38127090301,104.347826086957,0,0,0,52.1739130434783,0,0,0,0,NA,19.38,38.44,51.68,1.85,34.85,10.76,55.56,26.62,28.67,0,0,0,16.65,0,0,0,0,NA
"day 2","cam 2","arena 6","infected",0,0,0,0,0,0,0,0,0,0,0,19.74,21.2,62.98,79.77,63.97,72.13,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535117056856187,150.903010033445,0,178.996655518395,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.61,0,30.66,NA
"day 2","cam 2","arena 6","control",213.07,87.84,102.75,128.72,81.8,57.27,63.97,55.5,123.12,63.69,61.22,105.02,109.08,81.46,77.07,47.95,39.1,NA,18.9966555183947,21.6722408026756,0,46.0200668896321,62.0735785953177,282.541806020067,0,125.484949832776,206.28762541806,17.9264214046823,0,30.5016722408027,0,0,0,0,0,NA,25.06,16.9,0,22.62,28.06,26.19,0,11.2,41.14,5.16,0,10.65,0,0,0,0,0,NA
"day 2","cam 2","arena 6","control",0,437.31,178.28,211.95,167.36,113.22,110.63,93.58,140.2,118.09,94.87,124.02,92.85,116.63,90.54,78.38,67.95,NA,0,28.0936454849498,78.1270903010033,170.167224080268,15.5183946488294,54.314381270903,105.685618729097,0,15.7859531772575,0,0,14.180602006689,0,25.685618729097,0,0,0,NA,0,40.62,17.62,37.07,12.29,11.91,25.54,0,14.83,0,0,9.87,0,16.1,0,0,0,NA
"day 2","cam 3","arena 7","infected",111.89,101.72,156.79,178.18,71.66,131.69,153.58,110.03,103.89,138.04,99.22,115.71,71.75,28.17,98.65,51.96,0,NA,3.47826086956522,29.9665551839465,17.123745819398,1.33779264214047,7.49163879598662,0,22.2073578595318,0,0,0,0,0,0,0,0,0,0,NA,4.4,22.79,14.57,1.67,4.79,0,12.43,0,0,0,0,0,0,0,0,0,0,NA
"day 2","cam 3","arena 7","infected",165.77,115.88,168.62,85.18,117.15,134.27,118.35,65.9,67.01,68.68,29.02,0.21,24.32,101.32,95.91,71.34,115.26,NA,0,0,20.3344481605351,0,0,19.5317725752508,19.2642140468227,0,0,0,0,0,0,64.4816053511706,323.745819397993,15.5183946488294,36.6555183946488,NA,0,0,13.21,0,0,13.11,9,0,0,0,0,0,0,26.63,55.58,6.18,12.32,NA
"day 2","cam 3","arena 7","control",113.58,106.23,79.45,233.91,186.27,227.54,140.01,146.74,87.61,158.27,122.64,147.33,55.35,100.53,67.66,35.92,0,NA,8.2943143812709,0,0,127.090301003344,16.3210702341137,4.0133779264214,21.4046822742475,36.6555183946488,0,111.304347826087,7.75919732441472,21.1371237458194,0,0,0,0,0,NA,13.15,0,0,61.56,13.05,3.11,12.76,24.79,0,37.72,2.94,9.83,0,0,0,0,0,NA
"day 2","cam 3","arena 7","control",97.99,229.52,170.26,110.41,67.53,71.03,13.59,65.83,80.78,64.67,68.94,91.89,98.55,116.75,93.19,111.1,88.87,NA,20.6020066889632,146.086956521739,141.270903010033,51.6387959866221,0,0,0,0,0,0,0,0,0,0,113.979933110368,0,150.367892976589,NA,19.67,72.37,29.76,15.85,0,0,0,0,0,0,0,0,0,0,18.78,0,21.13,NA
"day 2","cam 4","arena 8","infected",419.02,254.71,137.8,114.16,74.35,134.75,124.73,99.53,69.85,76.58,69.07,33.83,0,0,0,0,0,NA,5.35117056856187,147.157190635452,0,0,0,51.371237458194,109.43143812709,28.3612040133779,0,0,0,0,0,0,0,0,0,NA,8,33.77,0,0,0,22.17,21.29,14.3,0,0,0,0,0,0,0,0,0,NA
"day 2","cam 4","arena 8","infected",245.06,11.99,24.95,18.14,127.6,133.65,164.88,170.81,66.35,82.96,118.16,179.01,143.1,85.14,73.41,100.75,75.88,NA,20.3344481605351,0,0,0,56.4548494983278,32.1070234113712,33.7123745819398,88.8294314381271,7.49163879598662,110.501672240803,28.0936454849498,61.0033444816054,39.5986622073579,0,111.839464882943,13.9130434782609,0,NA,30.15,0,0,0,19.36,18.16,18.93,35.38,1.18,14.03,10.76,26.67,16.35,0,20.81,5.74,0,NA
"day 2","cam 4","arena 8","control",248.7,15.07,109.31,109.44,206.4,152.28,122.19,97.95,119.86,119.14,133.7,97.76,73.38,31.71,134.97,60.67,50.37,NA,10.1672240802676,0,157.859531772575,13.1103678929766,45.4849498327759,9.36454849498328,0,0,28.3612040133779,54.8494983277592,48.4280936454849,156.254180602007,640,640,101.939799331104,0,0,NA,10.77,0,29.1,11.39,24.61,5.89,0,0,22.85,6.92,18.38,17.35,73.38,31.71,30.55,0,0,NA
