"","V1"
"1",0.5
"2",0.5
"3",0.518518518518518
"4",0.534722222222222
"5",0.533333333333333
"6",0.541666666666667
"7",0.53968253968254
"8",0.541666666666667
"9",0.540123456790123
"10",0.536111111111111
"11",0.532828282828283
"12",0.529002320185615
"13",0.525751072961373
"14",0.52191235059761
"15",0.517690875232775
"16",0.513986013986014
"17",0.512355848434926
"18",0.510903426791277
"19",0.5096011816839
"20",0.509116409537167
"21",0.511348464619493
"22",0.513375796178344
"23",0.520097442143727
"24",0.525087514585764
"25",0.529675251959686
"26",0.534983853606028
"27",0.539896373056995
"28",0.543456543456543
"29",0.547733847637416
"30",0.551724137931034
"31",0.552750225428314
"32",0.553711790393013
"33",0.554614733276884
"34",0.555464256368118
"35",0.556264964086193
"36",0.557796741660202
"37",0.559245283018868
"38",0.560617193240264
"39",0.561604584527221
"40",0.561844863731656
"41",0.562073669849932
"42",0.560959360426382
"43",0.559895833333333
"44",0.559516231699554
"45",0.559153175591532
"46",0.558805606337599
"47",0.556682577565632
"48",0.555230859146698
"49",0.553264604810997
"50",0.552188552188552
"51",0.550908090258668
"52",0.549136069114471
"53",0.547669491525424
"54",0.546257796257796
"55",0.545408163265306
"56",0.544088176352705
"57",0.542097488921713
"58",0.540658276863504
"59",0.539010466222645
"60",0.537885874649205
"61",0.536798528058878
"62",0.535746606334842
"63",0.535412026726058
"64",0.534649122807018
"65",0.533477321814255
"66",0.532340425531915
"67",0.531656184486373
"68",0.53099173553719
"69",0.530346232179226
"70",0.530120481927711
"71",0.52990099009901
"72",0.530859375
"73",0.531791907514451
"74",0.532699619771863
"75",0.533583489681051
"76",0.534444444444444
"77",0.535283363802559
"78",0.536101083032491
"79",0.536898395721925
"80",0.537676056338028
"81",0.538434782608696
"82",0.539175257731959
"83",0.539898132427844
"84",0.540087219054009
"85",0.540271793172025
"86",0.540452014412054
"87",0.540155440414508
"88",0.539372599231754
"89",0.538607594936709
"90",0.537859824780976
"91",0.537128712871287
"92",0.53671970624235
"93",0.536179231002119
"94",0.535650089874176
"95",0.535269709543568
"96",0.534897360703812
"97",0.534822983168891
"98",0.534462952326249
"99",0.533826037521319
"100",0.533202025886325
"101",0.532869080779944
"102",0.532542746828461
"103",0.532495903877662
"104",0.532179556517036
"105",0.532011786766676
"106",0.531847133757962
"107",0.531948461740731
"108",0.531787389265242
"109",0.531750129065565
"110",0.531713554987212
"111",0.531677648251394
"112",0.531391260673029
"113",0.531358885017422
"114",0.531080414405525
"115",0.530562347188264
"116",0.529810954920019
"117",0.529312830370014
"118",0.52882324916627
"119",0.528341993386868
"120",0.528337236533958
"121",0.528222996515679
"122",0.527649769585253
"123",0.526857142857143
"124",0.526303854875283
"125",0.525641025641026
"126",0.524988844265953
"127",0.524347056219566
"128",0.523715415019763
"129",0.523093681917211
"130",0.522697795071336
"131",0.522308022308022
"132",0.521711366538953
"133",0.52112378538234
"134",0.520545073375262
"135",0.520183104452767
"136",0.519727329064243
"137",0.519073010664479
"138",0.518631643249847
"139",0.518196522442378
"140",0.517968279461955
"141",0.51774322169059
"142",0.517814726840855
"143",0.517885220125786
"144",0.517954722872756
"145",0.518023255813953
"146",0.518283294842186
"147",0.518922018348624
"148",0.519552012148823
"149",0.519984917043741
"150",0.52059925093633
"151",0.521205357142857
"152",0.52180339985218
"153",0.522393538913363
"154",0.522975929978118
"155",0.523550724637681
"156",0.523938084953204
"157",0.524320457796853
"158",0.524697938877043
"159",0.525070621468927
"160",0.52578947368421
"161",0.52649930264993
"162",0.527027027027027
"163",0.527720385674931
"164",0.528495635803526
"165",0.529001530872597
"166",0.529501267962806
"167",0.529826919845404
"168",0.529981626858193
"169",0.530134484476175
"170",0.530285525664301
"171",0.530434782608696
"172",0.53058228673952
"173",0.53072806875304
"174",0.53087215863292
"175",0.53117486776727
"176",0.531314741035857
"177",0.531611472032958
"178",0.532062391681109
"179",0.532508224972583
"180",0.53294905748559
"181",0.533384972889233
"182",0.533661993529502
"183",0.53378274858281
"184",0.533749809538321
"185",0.533868767995151
"186",0.534287867370008
"187",0.534852345975116
"188",0.535261666915163
"189",0.53551831528993
"190",0.535772237793185
"191",0.535876742479824
"192",0.535834184790542
"193",0.535792072019747
"194",0.535605951177235
"195",0.535565454806725
"196",0.53566833452466
"197",0.535627933437633
"198",0.535587943964907
"199",0.535689145431508
"200",0.535789326236167
"201",0.53588850174216
"202",0.535986687005963
"203",0.535807920518835
"204",0.53563092132363
"205",0.535455663341987
"206",0.535282121006118
"207",0.53497496955757
"208",0.534670795745254
"209",0.534503550850864
"210",0.534337911721563
"211",0.534173855341739
"212",0.534011359133536
"213",0.533850400946497
"214",0.533560120371582
"215",0.533272561531449
"216",0.533117303953338
"217",0.532963488582118
"218",0.532939514575575
"219",0.533171417614726
"220",0.533273953429189
"221",0.53324889170361
"222",0.533097969991174
"223",0.53288978157168
"224",0.532741814546363
"225",0.532719581985569
"226",0.532763532763533
"227",0.533053774050321
"228",0.533341520324205
"229",0.533683824428414
"230",0.533966398831264
"231",0.534246575342466
"232",0.534468187854642
"233",0.534567752795479
"234",0.534546760866962
"235",0.534645199761479
"236",0.53474284356812
"237",0.534721400686147
"238",0.534464475079533
"239",0.53397488557681
"240",0.533606078316774
"241",0.533240190941902
"242",0.532877188913371
"243",0.532632551692272
"244",0.532274767000345
"245",0.53214899713467
"246",0.532024203676219
"247",0.532014102126692
"248",0.532117367168914
"249",0.532219839747207
"250",0.532321528948848
"251",0.532422443722701
"252",0.532016956715752
"253",0.531784841075795
"254",0.531554472984942
"255",0.531325832781822
"256",0.531150423030436
"257",0.530976357267951
"258",0.530854775403402
"259",0.530625543006082
"260",0.530289917784509
"261",0.530064655172414
"262",0.529898013955985
"263",0.529625668449198
"264",0.52951203920733
"265",0.529187009127574
"266",0.528864453372806
"267",0.528544343796082
"268",0.528226652675761
"269",0.527966544694198
"270",0.527604166666667
"271",0.527348209652309
"272",0.527094105480869
"273",0.526841834106131
"274",0.526331998768094
"275",0.525928198833998
"276",0.5255273616631
"277",0.525129454766981
"278",0.524835609509358
"279",0.524644693075295
"280",0.524407392527119
"281",0.524119295436349
"282",0.523885509125361
"283",0.523752733055059
"284",0.523620877488363
"285",0.523489932885906
"286",0.523458247270581
"287",0.52323073907077
"288",0.522958186791715
"289",0.522784810126582
"290",0.522515527950311
"291",0.52224801702457
"292",0.521982259930582
"293",0.521526042667692
"294",0.520977011494253
"295",0.520431544777544
"296",0.520125606622895
"297",0.519726858877086
"298",0.519425276491162
"299",0.519031467872621
"300",0.518734153441638
"301",0.518438786971172
"302",0.518052057094878
"303",0.517574855867584
"304",0.516915376772639
"305",0.516260162601626
"306",0.515793351137306
"307",0.515465810004589
"308",0.515140426310493
"309",0.514817178809155
"310",0.514361025268133
"311",0.513907764791157
"312",0.513457369942196
"313",0.512963629816349
"314",0.512473079684135
"315",0.511985688729875
"316",0.511590584878745
"317",0.51128688233203
"318",0.510985116938342
"319",0.510773578240904
"320",0.510651408450704
"321",0.510530010530011
"322",0.510496850944717
"323",0.510376700383676
"324",0.510257301808067
"325",0.510138648180243
"326",0.509934346924672
"327",0.509817430244575
"328",0.509701236263736
"329",0.509500171174255
"330",0.509300341296928
"331",0.50901667233753
"332",0.50890434192673
"333",0.508877240446398
"334",0.508934592043156
"335",0.508866291284982
"336",0.508755760368664
"337",0.508645894244424
"338",0.508579043811428
"339",0.508387311077894
"340",0.508113926146713
"341",0.507884091471972
"342",0.507778417976788
"343",0.507673368896184
"344",0.507487112347598
"345",0.507301949906176
