semana,,,GRUPO 1 (SIN INFECCION),,,,,,,,,,,,,,,,,GRUPO 2 (infectado con TC 35),,,,,,,,,,,,,,,
,Fecha,frasco( 50 c/u),NINFAS 1,,NINFAS 2,,NINFAS 3,,NINFAS 4,,NINFAS 5,,MACHOS,,HEMBRAS,,TOTAL,,,NINFAS 1,,NINFAS 2,,NINFAS 3,,NINFAS 4,,NINFAS 5,,MACHOS,,HEMBRAS,,TOTAL,
35,04/05/2015,A,,,,,,,1,0,7,3,3,0,6,0,17,33,,,,,,,,3,0,10,0,,,3,0,16,34
35,04/05/2015,B,,,,,,,3,0,9,0,1,0,3,0,16,34,,,,,,,,3,0,10,0,1,0,1,0,15,35
36,11/05/2015,A,,,,,,,1,0,5,1,4,0,6,0,16,34,,,,,,,,3,0,10,0,,,3,0,16,34
36,11/05/2015,B,,,,,,,2,1,7,0,2,0,4,0,15,35,,,,,,,,2,1,10,0,1,0,1,0,14,36
37,18/05/2015,A,,,,,,,1,0,5,0,4,0,5,1,15,35,,,,,,,,3,0,10,0,,,3,0,16,34
37,18/05/2015,B,,,,,,,0,1,8,0,2,0,4,0,14,36,,,,,,,,2,0,10,0,1,0,1,0,14,36
38,25/05/2015,A,,,,,,,1,0,4,1,4,0,5,0,14,36,,,,,,,,2,1,10,0,,,3,0,15,35
38,25/05/2015,B,,,,,,,,,7,1,2,0,4,0,13,37,,,,,,,,2,0,10,0,1,0,1,0,14,36
39,01/06/2015,A,,,,,,,1,0,3,1,4,0,5,0,13,37,,,,,,,,2,0,10,0,,,3,0,15,35
39,01/06/2015,B,,,,,,,,,7,0,2,0,4,0,13,37,,,,,,,,2,0,9,1,1,0,1,0,13,37
40,08/06/2015,A,,,,,,,1,0,3,0,4,0,5,0,13,37,,,,,,,,2,0,9,1,,,3,0,14,36
40,08/06/2015,B,,,,,,,,,7,0,2,0,4,0,13,37,,,,,,,,2,0,8,1,1,0,1,0,12,38
41,15/06/2015,A,,,,,,,1,0,3,0,4,0,5,0,13,37,,,,,,,,1,1,9,0,,,3,0,13,37
41,15/06/2015,B,,,,,,,,,7,0,2,0,4,0,13,37,,,,,,,,2,0,8,0,1,0,1,0,12,38
42,22/06/2015,A,,,,,,,1,0,3,0,4,0,5,0,13,37,,,,,,,,1,0,9,0,,,3,0,13,37
42,22/06/2015,B,,,,,,,,,6,1,2,0,4,0,12,38,,,,,,,,1,1,6,2,1,0,1,0,9,41
43,29/06/2015,A,,,,,,,,1,2,1,3,1,5,0,10,40,,,,,,,,1,0,9,0,,,3,0,13,37
43,29/06/2015,B,,,,,,,,,5,1,2,0,4,0,11,39,,,,,,,,1,0,6,0,1,0,1,0,9,41
44,06/07/2015,A,,,,,,,,,1,1,3,0,5,0,9,41,,,,,,,,,1,7,2,,,3,0,10,40
44,06/07/2015,B,,,,,,,,,3,0,3,0,5,0,11,39,,,,,,,,1,0,6,0,1,0,1,0,9,41
45,13/07/2015,A,,,,,,,,,,1,3,0,5,0,8,42,,,,,,,,,,6,1,,,3,0,9,41
45,13/07/2015,B,,,,,,,,,3,0,3,0,5,0,11,39,,,,,,,,1,0,3,3,1,0,1,0,6,44
46,20/07/2015,A,,,,,,,,,,,3,0,5,0,8,42,,,,,,,,,,5,1,,,3,0,8,42
46,20/07/2015,B,,,,,,,,,2,1,3,0,5,0,10,40,,,,,,,,1,0,3,0,1,0,1,0,6,44
47,27/07/2015,A,,,,,,,,,,,3,0,4,1,7,43,,,,,,,,,,4,1,,,3,0,7,43
47,27/07/2015,B,,,,,,,,,2,0,3,0,5,0,10,40,,,,,,,,0,1,2,1,1,0,1,0,4,46
48,03/08/2015,A,,,,,,,,,,,3,0,4,0,7,43,,,,,,,,,,4,0,,,3,0,7,43
48,03/08/2015,B,,,,,,,,,2,0,3,0,5,0,10,40,,,,,,,,,,1,1,1,0,1,0,3,47
49,10/08/2015,A,,,,,,,,,,,3,0,4,0,7,43,,,,,,,,,,2,2,,,3,0,5,45
49,10/08/2015,B,,,,,,,,,1,1,3,0,5,0,9,41,,,,,,,,,,1,0,1,0,1,0,3,47
